# Observation File: observation_column_all.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: water content [mol]
# Region: subsurface domain
# Functional: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow water content [mol]
# Region: surface domain
# Functional: extensive integral
# Variable: snow-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: evaporation [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-evaporative_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface-subsurface flux [mol s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-surface_subsurface_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation rain [m s^-1]
# Region: surface domain
# Functional: average
# Variable: surface-precipitation_rain
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: precipitation snow [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-precipitation
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: molar density liquid [mol m^-3]
# Region: surface domain
# Functional: average
# Variable: surface-molar_density_liquid
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface area [m^2]
# Region: surface domain
# Functional: extensive integral
# Variable: surface-cell_volume
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: snow melt [m s^-1]
# Region: surface domain
# Functional: average
# Variable: snow-melt
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: tcc last column
# Region: BTC all
# Functional: extensive integral
# Variable: total_component_concentration
# Number of Vectors: 2
# -----------------------------------------------------------------------------
# Observation Name: surface temperature [K]
# Region: surface domain
# Functional: average
# Variable: surface-temperature
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: thaw depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-thaw_depth
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: water table depth [m]
# Region: surface domain
# Functional: average
# Variable: surface-water_table
# Number of Vectors: 1
# =============================================================================
"time [d]","water content [mol]","surface water content [mol]","snow water content [mol]","evaporation [m s^-1]","surface-subsurface flux [mol s^-1]","precipitation rain [m s^-1]","precipitation snow [m s^-1]","molar density liquid [mol m^-3]","surface area [m^2]","snow melt [m s^-1]","tcc last column tracer1","tcc last column tracer2","surface temperature [K]","thaw depth [m]","water table depth [m]"
1.100000000000e+01,2.817999103320e+11,2.552296385927e+07,3.865181965023e+08,5.748825969393e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546986302155e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.674179822816e+02,0.000000000000e+00,4.000000000000e+01
1.200000000000e+01,2.817999103320e+11,2.552296385927e+07,3.937337541102e+08,8.058455313160e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546836181583e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.672675363209e+02,0.000000000000e+00,4.000000000000e+01
1.300000000000e+01,2.817999103320e+11,2.552296385927e+07,4.014547468123e+08,-2.619043178204e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546619639114e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.670563961465e+02,0.000000000000e+00,4.000000000000e+01
1.400000000000e+01,2.817999103320e+11,2.552296385927e+07,4.094693092274e+08,-4.594708094285e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546398046012e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.668469306029e+02,0.000000000000e+00,4.000000000000e+01
1.500000000000e+01,2.817999103320e+11,2.552296385927e+07,4.177507353092e+08,-6.386895351301e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.546180751355e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.666475021324e+02,0.000000000000e+00,4.000000000000e+01
1.600000000000e+01,2.817999103320e+11,2.552296385927e+07,4.260819149502e+08,-6.748029162681e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545918770110e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.664143308662e+02,0.000000000000e+00,4.000000000000e+01
1.700000000000e+01,2.817999103320e+11,2.552296385927e+07,4.345928721374e+08,-7.954199213420e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545666588017e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,4.223606018366e-185,2.661967733866e+02,0.000000000000e+00,4.000000000000e+01
1.800000000000e+01,2.817999103320e+11,2.552296385927e+07,4.431120469078e+08,-7.963533839035e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545509474160e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,8.564363337769e-184,2.660643556481e+02,0.000000000000e+00,4.000000000000e+01
1.900000000000e+01,2.817999103320e+11,2.552296385927e+07,4.515499358482e+08,-7.373572499336e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545440088809e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,9.167829443685e-183,2.660065436697e+02,0.000000000000e+00,4.000000000000e+01
2.000000000000e+01,2.817999103320e+11,2.552296385927e+07,4.598381155646e+08,-6.372565217986e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545367193469e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,4.288857783695e-182,2.659462936279e+02,0.000000000000e+00,4.000000000000e+01
2.100000000000e+01,2.817999103320e+11,2.552296385927e+07,4.683675279372e+08,-7.990772551291e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545297217391e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,1.688723256693e-181,2.658889084690e+02,0.000000000000e+00,4.000000000000e+01
2.200000000000e+01,2.817999103320e+11,2.552296385927e+07,4.770531669787e+08,-9.040921678016e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545226188060e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,5.784567380589e-181,2.658311069659e+02,0.000000000000e+00,4.000000000000e+01
2.300000000000e+01,2.817999103320e+11,2.552296385927e+07,4.858668644166e+08,-9.857594047256e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545229959238e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,1.791485757228e-180,2.658340455151e+02,0.000000000000e+00,4.000000000000e+01
2.400000000000e+01,2.817999103320e+11,2.552296385927e+07,4.944513948005e+08,-8.335193762860e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545208411653e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,5.088302472151e-180,2.658165174131e+02,0.000000000000e+00,4.000000000000e+01
2.500000000000e+01,2.817999103320e+11,2.552296385927e+07,5.026664750508e+08,-5.889190969201e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.545133977429e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,1.329739891859e-179,2.657565386324e+02,0.000000000000e+00,4.000000000000e+01
2.600000000000e+01,2.817999103320e+11,2.552296385927e+07,5.105076742034e+08,-3.444864088309e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544958204930e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,3.175612062399e-179,2.656168712270e+02,0.000000000000e+00,4.000000000000e+01
2.700000000000e+01,2.817999103320e+11,2.552296385927e+07,5.185970361904e+08,-5.121658295442e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544769011668e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,6.976475889155e-179,2.654693030060e+02,0.000000000000e+00,4.000000000000e+01
2.800000000000e+01,2.817999103320e+11,2.552296385927e+07,5.262629456224e+08,-2.278835475418e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544588147227e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,1.425183928981e-178,2.653307620084e+02,0.000000000000e+00,4.000000000000e+01
2.900000000000e+01,2.817999103320e+11,2.552296385927e+07,5.335149938804e+08,4.694694517970e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544368108862e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,2.719188158099e-178,2.651654234638e+02,0.000000000000e+00,4.000000000000e+01
3.000000000000e+01,2.817999103320e+11,2.552296385927e+07,5.407503181248e+08,5.265097587382e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544069638437e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,4.844092086014e-178,2.649464667825e+02,0.000000000000e+00,4.000000000000e+01
3.100000000000e+01,2.817999103320e+11,2.552296385927e+07,5.479641143110e+08,6.991007925483e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.543821524643e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,8.157097880373e-178,2.647687753305e+02,0.000000000000e+00,4.000000000000e+01
3.200000000000e+01,2.817999103320e+11,2.552296385927e+07,5.552661616751e+08,1.871220605320e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.543699283889e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,1.321971205224e-177,2.646825511063e+02,0.000000000000e+00,4.000000000000e+01
3.300000000000e+01,2.817999103320e+11,2.552296385927e+07,5.625551430887e+08,3.872338139201e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.543745303741e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,2.102505558693e-177,2.647147576968e+02,0.000000000000e+00,4.000000000000e+01
3.400000000000e+01,2.817999103320e+11,2.552296385927e+07,5.697106365604e+08,1.338558368896e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.543870682154e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,3.319426586407e-177,2.648033432451e+02,0.000000000000e+00,4.000000000000e+01
3.500000000000e+01,2.817999103320e+11,2.552296385927e+07,5.771207414806e+08,-3.433931471897e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544031018342e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,5.235522994863e-177,2.649180721957e+02,0.000000000000e+00,4.000000000000e+01
3.600000000000e+01,2.817999103320e+11,2.552296385927e+07,5.849325049545e+08,-3.090049469472e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544114600205e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,8.216293425496e-177,2.649784986628e+02,0.000000000000e+00,4.000000000000e+01
3.700000000000e+01,2.817999103320e+11,2.552296385927e+07,5.922594419767e+08,2.383361855684e-06,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544300790701e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,1.294129155549e-176,2.651148213425e+02,0.000000000000e+00,4.000000000000e+01
3.800000000000e+01,2.817999103320e+11,2.552296385927e+07,5.998779226532e+08,-1.740080711830e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544451833360e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,2.044963559059e-176,2.652271261564e+02,0.000000000000e+00,4.000000000000e+01
3.900000000000e+01,2.817999103320e+11,2.552296385927e+07,6.075138545464e+08,-1.879130082915e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544569225676e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,3.234203642747e-176,2.653155075247e+02,0.000000000000e+00,4.000000000000e+01
4.000000000000e+01,2.817999103320e+11,2.552296385927e+07,6.152563907340e+08,-2.641648940105e-05,0.000000000000e+00,0.000000000000e+00,4.927038626609e-04,5.544620257248e+04,2.688002413326e+05,0.000000000000e+00,0.000000000000e+00,5.088481605511e-176,2.653542160198e+02,0.000000000000e+00,4.000000000000e+01
